,Country name,2019 year,2019 Life Ladder,2019 Log GDP per capita,2019 Social support,2019 Healthy life expectancy at birth,2019 Freedom to make life choices,2019 Generosity,2019 Perceptions of corruption,2019 Positive affect,2019 Negative affect,Population 2020,Population 2019,"COVID-19 deaths per 100,000 population in 2020",Median age,Island,Index of exposure to COVID-19  infections in other countries as of March 31,Log of average distance to SARS countries,WHO Western Pacific Region,Female head of government,Index of institutional trust,Gini coefficient of income,"All-cause death count, 2017","All-cause death count, 2018","All-cause death count, 2019","All-cause death count, 2020","Excess deaths in 2020 per 100,000 population, relative to 2017-2019 average"
0,Afghanistan,2019,2.375,7.697,0.42,52.4,0.39399999999999996,-0.10800000000000001,0.924,0.35100000000000003,0.502,38928341.0,38041754.0,5.627999999999999,18.6,0.0,1.107,8.623,0.0,0.0,0.046,31.0,,,,,
1,Albania,2019,4.995,9.544,0.6859999999999999,69.0,0.777,-0.099,0.914,0.6809999999999999,0.27399999999999997,2877800.0,2854191.0,41.038000000000004,38.0,0.0,3.0580000000000003,9.036,0.0,0.0,0.15,28.96,,,,,
2,Algeria,2019,4.745,9.337,0.8029999999999999,66.1,0.385,0.005,0.741,0.585,0.215,43851043.0,43053054.0,6.285,29.1,0.0,2.9330000000000003,9.158999999999999,0.0,0.0,0.415,27.62,,,,,
3,Argentina,2019,6.086,10.0,0.8959999999999999,69.0,0.8170000000000001,-0.21100000000000002,0.83,0.826,0.319,45195777.0,44938712.0,95.684,31.9,0.0,0.5489999999999999,9.717,0.0,0.0,0.091,39.6,,,,,
4,Armenia,2019,5.4879999999999995,9.522,0.782,67.2,0.8440000000000001,-0.172,0.583,0.598,0.43,2963234.0,2957731.0,95.26799999999999,35.7,0.0,1.7619999999999998,8.857999999999999,0.0,0.0,0.174,33.62,27367.0,25645.0,26252.0,35371.0,302.30400000000003
5,Australia,2019,7.234,10.815,0.943,73.9,0.9179999999999999,0.121,0.43,0.77,0.20199999999999999,25499881.0,25364307.0,3.565,37.9,1.0,0.405,9.102,1.0,0.0,0.335,33.0,,,,,
6,Austria,2019,7.195,10.939,0.9640000000000001,73.3,0.903,0.06,0.457,0.774,0.205,9006400.0,8877067.0,69.084,44.4,0.0,4.315,9.023,0.0,0.0,0.358,26.8,81311.0,82063.0,81557.0,91553.0,110.821
7,Azerbaijan,2019,5.172999999999999,9.575,0.887,65.8,0.8540000000000001,-0.214,0.457,0.643,0.16399999999999998,10139175.0,10023318.0,26.048000000000002,32.4,0.0,1.7519999999999998,8.81,0.0,0.0,0.35200000000000004,26.6,57109.0,57250.0,56447.0,75647.0,185.609
8,Bahrain,2019,7.098,10.715,0.878,69.3,0.907,0.048,,0.762,0.317,1701583.0,1641172.0,20.686999999999998,32.4,1.0,1.6669999999999998,8.852,0.0,0.0,0.48700000000000004,59.6,,,,,
9,Bangladesh,2019,5.114,8.467,0.6729999999999999,64.8,0.902,-0.051,0.6559999999999999,0.537,0.369,164689383.0,163046161.0,4.59,27.5,0.0,0.8240000000000001,8.349,0.0,1.0,0.5770000000000001,43.973,,,,,
10,Belarus,2019,5.821000000000001,9.86,0.917,66.4,0.657,-0.18600000000000003,0.546,0.591,0.19,9449321.0,9466856.0,15.07,40.3,0.0,2.377,8.935,0.0,0.0,0.242,25.44,,,,,
11,Belgium,2019,6.772,10.853,0.884,72.2,0.7759999999999999,-0.172,0.672,0.733,0.244,11589616.0,11484055.0,168.49599999999998,41.8,0.0,6.343,9.071,0.0,0.0,0.303,25.6,109278.0,110341.0,108436.0,128952.0,169.894
12,Benin,2019,4.976,8.097999999999999,0.442,54.7,0.77,-0.016,0.698,0.659,0.441,12123198.0,11801151.0,0.363,18.8,0.0,0.971,9.318999999999999,0.0,0.0,0.39799999999999996,47.76,,,,,
13,Bolivia,2019,5.6739999999999995,9.074,0.784,63.9,0.8809999999999999,-0.086,0.857,0.7509999999999999,0.419,11673029.0,11513100.0,78.514,25.4,0.0,0.609,9.726,0.0,0.0,0.10099999999999999,43.8,,,,,
14,Bosnia and Herzegovina,2019,6.016,9.609,0.873,68.1,0.722,0.079,0.963,0.633,0.23800000000000002,3280815.0,3301000.0,123.445,42.5,0.0,3.509,9.032,0.0,0.0,0.064,33.03,,,,,
15,Botswana,2019,3.471,9.785,0.774,59.6,0.833,-0.239,0.792,0.7120000000000001,0.273,2351625.0,2303697.0,1.786,25.8,0.0,0.628,9.307,0.0,0.0,0.435,53.33,,,,,
16,Brazil,2019,6.4510000000000005,9.592,0.899,66.6,0.83,-0.062,0.762,0.7609999999999999,0.337,212559409.0,211049527.0,91.715,33.5,0.0,0.657,9.666,0.0,0.0,0.115,54.0,1312663.0,1316719.0,1349802.0,1571383.0,115.667
17,Bulgaria,2019,5.1080000000000005,10.047,0.948,67.0,0.8220000000000001,-0.109,0.943,0.6629999999999999,0.2,6948445.0,6975761.0,109.03200000000001,44.7,0.0,2.6919999999999997,9.007,0.0,0.0,0.073,39.6,109330.0,108247.0,107849.0,126525.0,259.256
18,Burkina Faso,2019,4.7410000000000005,7.691,0.6829999999999999,54.4,0.6779999999999999,-0.004,0.7290000000000001,0.691,0.365,20903278.0,20321378.0,0.40700000000000003,17.6,0.0,1.092,9.318,0.0,0.0,0.359,35.3,,,,,
19,Cambodia,2019,4.998,8.387,0.759,62.0,0.9570000000000001,0.013000000000000001,0.828,0.8440000000000001,0.39,16718971.0,16486542.0,0.0,25.6,0.0,0.7140000000000001,8.256,1.0,0.0,0.498,36.0,,,,,
20,Cameroon,2019,4.937,8.203,0.711,53.5,0.7120000000000001,-0.008,0.8170000000000001,0.629,0.326,26545864.0,25876380.0,1.6880000000000002,18.8,0.0,0.919,9.276,0.0,0.0,0.281,46.64,,,,,
21,Canada,2019,7.109,10.8,0.925,73.8,0.912,0.11199999999999999,0.436,0.8220000000000001,0.285,37742157.0,37589262.0,41.418,41.4,0.0,2.296,9.267999999999999,0.0,0.0,0.48200000000000004,35.25,,,,,
22,Chad,2019,4.251,7.365,0.64,48.7,0.537,0.055,0.8320000000000001,0.5870000000000001,0.46,16425859.0,15946876.0,0.633,16.7,0.0,1.077,9.213,0.0,0.0,0.26899999999999996,43.32,,,,,
23,Chile,2019,5.942,10.095,0.8690000000000001,70.0,0.659,-0.10300000000000001,0.86,0.809,0.337,19116209.0,18952038.0,86.87899999999999,35.4,0.0,0.562,9.722000000000001,0.0,0.0,0.09699999999999999,45.92,106045.0,106458.0,109079.0,127387.0,106.088
24,China,2019,5.144,9.687999999999999,0.8220000000000001,69.6,0.927,-0.17300000000000001,,0.8909999999999999,0.147,1439323774.0,1397715000.0,0.332,38.7,0.0,1.097,8.213,1.0,0.0,0.516,46.7,,,,,
25,Colombia,2019,6.35,9.597999999999999,0.873,68.0,0.8220000000000001,-0.172,0.8540000000000001,0.8220000000000001,0.322,50882884.0,50339443.0,84.926,32.2,0.0,0.8140000000000001,9.606,0.0,0.0,0.113,52.0,226799.0,236228.0,243648.0,301480.0,130.251
26,Comoros,2019,4.609,8.033,0.632,57.5,0.5379999999999999,0.077,0.762,0.736,0.336,869595.0,850886.0,1.15,20.4,1.0,0.6629999999999999,9.128,0.0,0.0,0.139,45.33,,,,,
27,Congo (Brazzaville),2019,5.212999999999999,8.101,0.625,58.5,0.6859999999999999,-0.046,0.741,0.645,0.405,5518092.0,5380508.0,1.9569999999999999,19.0,0.0,0.853,9.287,0.0,0.0,0.23800000000000002,48.94,,,,,
28,Costa Rica,2019,6.997999999999999,9.885,0.9059999999999999,71.5,0.927,-0.146,0.836,0.848,0.303,5094114.0,5047561.0,42.893,33.6,0.0,0.8640000000000001,9.549,0.0,0.0,0.213,48.6,,,,,
29,Croatia,2019,5.626,10.258,0.9359999999999999,70.8,0.7390000000000001,-0.13699999999999998,0.932,0.551,0.26899999999999996,4105268.0,4067500.0,95.48700000000001,44.0,0.0,4.0569999999999995,9.037,0.0,0.0,0.131,29.7,53269.0,52562.0,51611.0,57922.0,133.158
30,Cyprus,2019,6.1370000000000005,10.585,0.7759999999999999,73.9,0.74,-0.008,0.865,0.763,0.29,875899.0,1198575.0,13.585999999999999,37.3,1.0,1.9080000000000001,8.968,0.0,0.0,0.174,29.1,6009.0,5798.0,6218.0,6636.0,60.513000000000005
31,Denmark,2019,7.693,10.954,0.958,72.7,0.963,0.02,0.174,0.862,0.18100000000000002,5792203.0,5818553.0,22.409000000000002,42.3,0.0,3.9530000000000003,9.006,0.0,1.0,0.5720000000000001,27.8,53103.0,55076.0,53805.0,55477.0,25.534000000000002
32,Dominican Republic,2019,6.004,9.821,0.884,66.1,0.877,-0.12300000000000001,0.746,0.784,0.264,10847904.0,10738958.0,22.253,27.6,1.0,1.13,9.503,0.0,0.0,0.19899999999999998,44.4,,,,,
33,Ecuador,2019,5.809,9.339,0.8079999999999999,68.8,0.83,-0.115,0.8390000000000001,0.8109999999999999,0.374,17643060.0,17373662.0,79.544,28.1,0.0,0.789,9.634,0.0,0.0,0.205,45.4,70049.0,71769.0,73479.0,115842.0,251.745
34,Egypt,2019,4.328,9.373,0.772,62.0,0.774,-0.19899999999999998,,0.517,0.313,102334403.0,100388073.0,7.457000000000001,25.3,0.0,1.6269999999999998,9.007,0.0,0.0,0.446,31.56,,,,,
35,El Salvador,2019,6.455,9.08,0.764,66.4,0.877,-0.109,0.682,0.871,0.271,6486201.0,6453553.0,20.459,27.6,0.0,0.863,9.508,0.0,0.0,0.239,40.5,,,,,
36,Estonia,2019,6.035,10.511,0.934,68.8,0.887,-0.096,0.5760000000000001,0.804,0.156,1326539.0,1326590.0,17.262999999999998,42.7,0.0,2.365,8.93,0.0,1.0,0.27,30.6,15476.0,15684.0,15332.0,16206.0,53.42100000000001
37,Ethiopia,2019,4.1,7.705,0.748,59.0,0.754,0.053,0.732,0.631,0.28300000000000003,114963583.0,112078730.0,1.673,19.8,0.0,0.915,9.047,0.0,1.0,0.397,33.498000000000005,,,,,
38,Finland,2019,7.78,10.792,0.937,72.0,0.948,-0.052000000000000005,0.195,0.755,0.18100000000000002,5540718.0,5520314.0,10.125,42.8,0.0,2.225,8.927,0.0,1.0,0.55,25.9,53546.0,54394.0,53821.0,55663.0,31.51
39,France,2019,6.69,10.74,0.958,74.0,0.8270000000000001,-0.133,0.568,0.735,0.25,65273512.0,67059887.0,99.212,42.0,0.0,5.031000000000001,9.092,0.0,0.0,0.23399999999999999,29.3,604105.0,607786.0,611291.0,678259.0,106.59700000000001
40,Gabon,2019,4.914,9.607000000000001,0.763,60.2,0.736,-0.203,0.846,0.693,0.413,2225728.0,2172579.0,2.875,23.1,0.0,0.865,9.305,0.0,1.0,0.10400000000000001,38.02,,,,,
41,Gambia,2019,5.164,7.699,0.6940000000000001,55.3,0.677,0.41,0.7979999999999999,0.773,0.401,2416664.0,2347706.0,5.131,17.5,0.0,1.044,9.392999999999999,0.0,0.0,0.489,35.92,,,,,
42,Georgia,2019,4.8919999999999995,9.617,0.675,64.3,0.8109999999999999,-0.26,0.647,0.604,0.244,3989175.0,3720382.0,62.795,38.7,0.0,1.706,8.851,0.0,1.0,0.198,37.94,,,,,
43,Germany,2019,7.035,10.892999999999999,0.8859999999999999,72.5,0.885,0.057,0.462,0.7509999999999999,0.226,83783945.0,83132799.0,40.330999999999996,46.6,0.0,4.838,9.017999999999999,0.0,1.0,0.435,31.1,929351.0,952295.0,936772.0,1000855.0,73.548
44,Ghana,2019,4.967,8.596,0.746,57.6,0.787,0.11599999999999999,0.857,0.682,0.27,31072945.0,30417856.0,1.078,21.1,0.0,0.9520000000000001,9.342,0.0,0.0,0.305,43.52,,,,,
