,Country name,2019 year,2019 Life Ladder,2019 Log GDP per capita,2019 Social support,2019 Healthy life expectancy at birth,2019 Freedom to make life choices,2019 Generosity,2019 Perceptions of corruption,2019 Positive affect,2019 Negative affect,Population 2020,Population 2019,"COVID-19 deaths per 100,000 population in 2020",Median age,Island,Index of exposure to COVID-19  infections in other countries as of March 31,Log of average distance to SARS countries,WHO Western Pacific Region,Female head of government,Index of institutional trust,Gini coefficient of income,"All-cause death count, 2017","All-cause death count, 2018","All-cause death count, 2019","All-cause death count, 2020","Excess deaths in 2020 per 100,000 population, relative to 2017-2019 average"
68,Latvia,2019,5.97,10.335999999999999,0.9359999999999999,67.1,0.698,-0.19399999999999998,0.789,0.575,0.212,1886202.0,1912789.0,33.666,43.9,0.0,2.49,8.943,0.0,0.0,0.096,35.6,28659.0,28743.0,27632.0,28989.0,33.921
69,Lebanon,2019,4.024,9.597000000000001,0.866,67.6,0.447,-0.081,0.89,0.322,0.494,6825442.0,6855713.0,21.508000000000003,31.1,0.0,1.891,8.956,0.0,0.0,0.107,31.83,,,,,
70,Lesotho,2019,3.512,7.926,0.79,48.7,0.716,-0.131,0.915,0.735,0.273,2142252.0,2125268.0,2.381,24.0,0.0,0.586,9.317,0.0,0.0,0.27899999999999997,54.18,,,,,
71,Liberia,2019,5.121,7.263999999999999,0.7120000000000001,56.9,0.706,0.051,0.828,0.636,0.389,5057677.0,4937374.0,1.641,19.2,0.0,0.935,9.398,0.0,0.0,0.273,35.27,,,,,
72,Libya,2019,5.33,9.627,0.8270000000000001,62.3,0.762,-0.073,0.6859999999999999,0.7090000000000001,0.401,6871287.0,6777452.0,21.51,29.0,0.0,2.194,9.122,0.0,0.0,0.311,30.2,,,,,
73,Lithuania,2019,6.064,10.517999999999999,0.9179999999999999,67.9,0.78,-0.251,0.7829999999999999,0.5660000000000001,0.276,2722291.0,2786844.0,53.558,43.5,0.0,2.539,8.943999999999999,0.0,1.0,0.18899999999999997,36.9,39990.0,39452.0,38184.0,43824.0,167.55200000000002
74,Luxembourg,2019,7.404,11.648,0.912,72.6,0.93,-0.045,0.39,0.789,0.212,625976.0,619896.0,79.07600000000001,39.7,0.0,5.974,9.07,0.0,0.0,0.595,30.9,4251.0,4300.0,4288.0,4706.0,68.439
75,Madagascar,2019,4.3389999999999995,7.406000000000001,0.701,59.5,0.55,-0.012,0.72,0.723,0.304,27691019.0,26969307.0,0.9420000000000001,19.6,1.0,0.603,9.142000000000001,0.0,0.0,0.312,42.65,,,,,
76,Malawi,2019,3.8689999999999998,6.966,0.5489999999999999,58.3,0.765,0.004,0.68,0.537,0.348,19129955.0,18628747.0,0.988,18.1,0.0,0.667,9.207,0.0,0.0,0.32299999999999995,44.69,,,,,
77,Malaysia,2019,5.428,10.252,0.8420000000000001,67.2,0.9159999999999999,0.12300000000000001,0.782,0.8340000000000001,0.17600000000000002,32365998.0,31949777.0,1.455,29.9,0.0,0.7140000000000001,8.415,1.0,0.0,0.44299999999999995,41.04,168100.0,172100.0,173700.0,174300.0,9.329
78,Mali,2019,4.988,7.752000000000001,0.755,52.2,0.67,-0.038,0.846,0.7120000000000001,0.358,20250834.0,19658031.0,1.328,16.4,0.0,1.07,9.352,0.0,0.0,0.27399999999999997,33.04,,,,,
79,Malta,2019,6.733,10.677,0.922,72.2,0.924,0.087,0.6890000000000001,0.7070000000000001,0.35600000000000004,441539.0,502653.0,49.599,42.4,1.0,2.822,9.097000000000001,0.0,0.0,0.40299999999999997,28.7,3556.0,3672.0,3684.0,4093.0,96.52
80,Mauritania,2019,4.1530000000000005,8.556000000000001,0.7979999999999999,57.3,0.628,-0.102,0.743,0.6920000000000001,0.26,4649660.0,4525696.0,7.462999999999999,20.3,0.0,1.149,9.363999999999999,0.0,0.0,0.122,32.62,,,,,
81,Mauritius,2019,6.2410000000000005,10.043,0.9129999999999999,66.7,0.893,-0.053,0.81,0.8079999999999999,0.149,1271767.0,1265711.0,0.7859999999999999,37.4,1.0,0.624,9.084,0.0,0.0,0.41100000000000003,38.47,10140.0,10787.0,11174.0,11060.0,28.348000000000003
82,Mexico,2019,6.432,9.891,0.852,68.6,0.903,-0.141,0.809,0.8640000000000001,0.252,128932753.0,127575529.0,97.57600000000001,29.3,0.0,0.848,9.434,0.0,0.0,0.129,47.5,701160.0,718206.0,728889.0,1045794.0,257.075
83,Moldova,2019,5.803,9.475,0.809,65.7,0.784,-0.092,0.884,0.631,0.262,4033963.0,2657637.0,73.997,37.6,0.0,2.3480000000000003,8.952,0.0,0.0,0.10400000000000001,25.9,36768.0,37176.0,36794.0,40382.0,103.69200000000001
84,Mongolia,2019,5.563,9.418,0.946,62.5,0.711,0.149,0.873,0.7070000000000001,0.16699999999999998,3278292.0,3225167.0,0.031,28.6,0.0,1.14,8.326,1.0,0.0,0.102,32.35,15812.0,17331.0,17205.0,15922.0,-26.468000000000004
85,Montenegro,2019,5.386,9.97,0.8320000000000001,68.7,0.6940000000000001,-0.105,0.82,0.591,0.366,628062.0,622137.0,108.588,39.1,0.0,3.134,9.015,0.0,0.0,0.21600000000000003,31.93,,,,,
86,Morocco,2019,5.0569999999999995,8.925,0.535,66.2,0.757,-0.244,0.757,0.589,0.41,36910558.0,36471769.0,20.016,29.6,0.0,2.336,9.226,0.0,0.0,0.397,39.55,,,,,
87,Mozambique,2019,4.9319999999999995,7.155,0.742,55.2,0.87,0.073,0.682,0.5870000000000001,0.384,31255435.0,30366036.0,0.531,17.7,0.0,0.599,9.273,0.0,0.0,0.473,49.417,,,,,
