Country name,2019 year,2019 Life Ladder,2019 Log GDP per capita,2019 Social support,2019 Healthy life expectancy at birth,2019 Freedom to make life choices,2019 Generosity,2019 Perceptions of corruption,2019 Positive affect,2019 Negative affect,"COVID-19 deaths per 100,000 population in 2020",Median age,Index of institutional trust,Gini coefficient of income,"Excess deaths in 2020 per 100,000 population, relative to 2017-2019 average"
Turkey,2019,4.872,10.245999999999999,0.792,67.2,0.631,-0.136,0.76,0.42200000000000004,0.368,24.758000000000003,31.6,0.295,40.55,
Turkmenistan,2019,5.474,9.651,0.982,62.6,0.892,0.285,,0.51,0.183,,,0.511,26.5,
Uganda,2019,4.948,7.688,0.805,56.1,0.7040000000000001,0.139,0.826,0.693,0.385,0.5489999999999999,16.4,0.239,42.75,
Ukraine,2019,4.702,9.458,0.883,64.9,0.715,-0.081,0.885,0.634,0.201,44.086999999999996,41.4,0.059000000000000004,25.0,81.407
United Arab Emirates,2019,6.711,11.114,0.862,67.3,0.9109999999999999,0.129,,0.7929999999999999,0.284,6.763999999999999,34.0,0.6940000000000001,38.3,
United Kingdom,2019,7.157,10.751,0.943,72.5,0.8540000000000001,0.271,0.485,0.775,0.251,108.45,40.8,0.268,34.07,133.313
United States,2019,6.944,11.043,0.917,68.2,0.836,0.14400000000000002,0.7070000000000001,0.815,0.244,104.45100000000001,38.3,0.25,47.51,179.22
Uruguay,2019,6.6,9.979,0.9329999999999999,69.1,0.903,-0.095,0.599,0.889,0.222,5.21,35.6,0.247,39.25,
Uzbekistan,2019,6.154,8.853,0.915,65.4,0.97,0.304,0.511,0.845,0.22,1.834,28.2,0.435,39.7,56.381
Venezuela,2019,5.081,,0.888,66.7,0.626,,0.8390000000000001,0.7609999999999999,0.35100000000000003,3.615,29.0,0.12,37.8,
Vietnam,2019,5.4670000000000005,8.992,0.848,68.1,0.9520000000000001,-0.126,0.7879999999999999,0.7509999999999999,0.18600000000000003,0.036000000000000004,32.6,0.49,40.1,
Yemen,2019,4.197,,0.87,57.5,0.6509999999999999,,0.7979999999999999,0.5429999999999999,0.213,2.045,20.3,0.267,36.71,
Zambia,2019,3.307,8.155,0.638,55.8,0.8109999999999999,0.077,0.8320000000000001,0.743,0.39399999999999996,2.11,17.7,0.322,57.14,
Zimbabwe,2019,2.694,7.95,0.759,56.2,0.632,-0.064,0.831,0.716,0.235,2.4419999999999997,19.6,0.287,40.363,
